record_id,disease_name,reported_date,country,region,cases,deaths,recovered
93,Cholera,2023-09-30,Bangladesh,Asia,550,50,500
94,Tuberculosis,2023-09-30,Pakistan,Asia,2900,28,2872
95,Influenza,2023-10-01,France,Europe,500,5,495
96,Zika Virus,2023-10-02,Brazil,South America,160,2,158
97,Malaria,2023-10-02,Ethiopia,Africa,3200,80,3120
98,Dengue Fever,2023-10-03,Indonesia,Asia,1000,12,988
99,COVID-19,2023-10-04,Spain,Europe,1650,16,1634
100,Cholera,2023-10-04,Yemen,Asia,550,70,480
101,Influenza,2023-10-05,Australia,Oceania,280,3,277
102,COVID-19,2023-10-06,USA,North America,1700,20,1680
103,Malaria,2023-10-07,Nigeria,Africa,4200,75,4125
104,Dengue Fever,2023-10-07,Brazil,South America,1300,11,1289
105,Tuberculosis,2023-10-08,India,Asia,2600,35,2565
106,Cholera,2023-10-08,Haiti,North America,450,40,410
107,COVID-19,2023-10-09,UK,Europe,2000,18,1982
108,Influenza,2023-10-10,Canada,North America,520,4,516
109,Zika Virus,2023-10-10,Mexico,North America,300,3,297
110,Malaria,2023-10-11,Kenya,Africa,3800,85,3715
111,Dengue Fever,2023-10-11,Thailand,Asia,900,9,891
112,COVID-19,2023-10-12,Italy,Europe,1500,14,1486
113,Cholera,2023-10-13,Bangladesh,Asia,600,60,540
114,Tuberculosis,2023-10-13,Pakistan,Asia,3100,30,3070
115,Influenza,2023-10-14,France,Europe,550,6,544
116,Zika Virus,2023-10-15,Brazil,South America,190,2,188
117,Malaria,2023-10-15,Ethiopia,Africa,3500,90,3410
118,Dengue Fever,2023-10-16,Indonesia,Asia,1100,13,1087
119,COVID-19,2023-10-17,Spain,Europe,1800,20,1780
120,Cholera,2023-10-17,Yemen,Asia,600,80,520
